Inserting 1000000 into Morten Koks  (motor@aau.student.dk) at 23-11-2020 20:23:50 with ID:1
Morten Koks  (motor@aau.student.dk) bought Monster for 1200 at 23-11-2020 20:24:00 with ID:2
Morten Koks  (motor@aau.student.dk) bought Monster for 1200 at 23-11-2020 20:24:00 with ID:3
Morten Koks  (motor@aau.student.dk) bought Monster for 1200 at 23-11-2020 20:24:00 with ID:4
Morten Koks  (motor@aau.student.dk) bought Monster for 1200 at 23-11-2020 20:24:00 with ID:5
Morten Koks  (motor@aau.student.dk) bought Monster for 1200 at 23-11-2020 20:24:00 with ID:6
Morten Koks  (motor@aau.student.dk) bought Monster for 1200 at 23-11-2020 20:24:00 with ID:7
Morten Koks  (motor@aau.student.dk) bought Monster for 1200 at 23-11-2020 20:24:00 with ID:8
Morten Koks  (motor@aau.student.dk) bought Monster for 1200 at 23-11-2020 20:24:00 with ID:9
Morten Koks  (motor@aau.student.dk) bought Monster for 1200 at 23-11-2020 20:24:00 with ID:10
Morten Koks  (motor@aau.student.dk) bought Monster for 1200 at 23-11-2020 20:24:00 with ID:11
Nancy Davolio  (ndavo@sample.stregsystem.dk) bought Kaffe/Choko(1 kop) for 300 at 23-11-2020 20:24:54 with ID:12
Nancy Davolio  (ndavo@sample.stregsystem.dk) bought ½L Vand incl. pant for 1350 at 23-11-2020 20:24:59 with ID:13
Morten Koks  (motor@aau.student.dk) bought Kaffe/Choko(1 kop) for 300 at 23-11-2020 20:36:07 with ID:1
Morten Koks  (motor@aau.student.dk) bought Kaffe/Choko(1 kop) for 300 at 23-11-2020 20:43:45 with ID:1
Inserting 100000 into Morten Koks  (motor@aau.student.dk) at 23-11-2020 21:04:06 with ID:1
Morten Koks  (motor@aau.student.dk) bought Kaffe/Choko(1 kop) for 300 at 23-11-2020 21:04:27 with ID:2
